NAME:INTPTLAT,INTPTLONG                                                                                                               
Poinsett County:35.56887,-90.681104                                                                                                                  
Polk County:34.490915,-94.230884                                                                                                                     
Pope County:35.456557,-93.026818                                                                                                                    
Prairie County:34.831116,-91.55362                                                                                                                 
Pulaski County:34.770311,-92.312996                                                                                                               
Randolph County:36.341298,-91.028441                                                                                                                 
St. Francis County:35.022838,-90.751505                                                                                                             
Saline County:34.648525,-92.674463                                                                                                                  
Scott County:34.858869,-94.063641                                                                                                                   
Searcy County:35.896387,-92.695888                                                                                                                   
Sebastian County:35.196981,-94.274989                                                                                                              
Sevier County:33.994877,-94.243279                                                                                                                 
Sharp County:36.173399,-91.471069                                                                                                                    
Stone County:35.857001,-92.140482                                                                                                                    
Union County:33.168219,-92.598145                                                                                                                 
Van Buren County:35.582953,-92.515976                                                                                                               
Washington County:35.978001,-94.217269                                                                                                             
White County:35.255118,-91.753034                                                                                                                  
Woodruff County:35.192777,-91.244535                                                                                                                
Yell County:34.997713,-93.408303                                                                                                                   
Alameda County:37.647139,-121.912488                                                                                                              
Alpine County:38.621783,-119.798352                                                                                                                  
Amador County:38.44355,-120.653856                                                                                                                 
Butte County:39.665959,-121.601919                                                                                                               
Calaveras County:38.1839,-120.561441                                                                                                              
Colusa County:39.177739,-122.237563                                                                                                                
Contra Costa County:37.919479,-121.951543                                                                                                          
Del Norte County:41.763958,-124.003614                                                                                                          
El Dorado County:38.785612,-120.534225                                                                                                           
Fresno County:36.761006,-119.655019                                                                                                             
Glenn County:39.602546,-122.4017                                                                                                                  
Humboldt County:40.706655,-123.926176                                                                                                           
Imperial County:33.040814,-115.3554                                                                                                            
Inyo County:36.561977,-117.403927                                                                                                               
Kern County:35.346629,-118.729506                                                                                                                
Kings County:36.072478,-119.81553                                                                                                                   
Lake County:39.094802,-122.746757                                                                                                                
Lassen County:40.721086,-120.629952                                                                                                             
Los Angeles County:34.196398,-118.261862                                                                                                      
Madera County:37.209821,-119.749802                                                                                                               
Marin County:38.051817,-122.745974                                                                                                               
Mariposa County:37.57003,-119.912861                                                                                                              
Mendocino County:39.432388,-123.442881                                                                                                          
Merced County:37.194806,-120.722802                                                                                                               
Modoc County:41.592918,-120.71837                                                                                                              
Mono County:37.915836,-118.875167                                                                                                                
Monterey County:36.240107,-121.315572                                                                                                            
Napa County:38.5071,-122.325904                                                                                                                   
Nevada County:39.297508,-120.771343                                                                                                                 
Orange County:33.675687,-117.777207                                                                                                               
Placer County:39.062032,-120.722718                                                                                                              
Plumas County:39.992295,-120.824371                                                                                                              
Riverside County:33.729828,-116.002239                                                                                                          
Sacramento County:38.450016,-121.340441                                                                                                            
San Benito County:36.611651,-121.085811                                                                                                             
San Bernardino County:34.85722,-116.181197                                                                                                      
San Diego County:33.023604,-116.776117                                                                                                         
San Francisco County:37.727239,-123.032229                                                                                                         
San Joaquin County:37.934982,-121.272244                                                                                                          
San Luis Obispo County:35.385224,-120.447544                                                                                                    
San Mateo County:37.414672,-122.371546                                                                                                           
Santa Barbara County:34.537057,-120.039973                                                                                                    
Santa Clara County:37.220695,-121.69051                                                                                                           
Santa Cruz County:37.012488,-122.007205                                                                                                          
Shasta County:40.760514,-122.043556                                                                                                              
Sierra County:39.576925,-120.521993                                                                                                                 
Siskiyou County:41.587986,-122.533287                                                                                                            
Solano County:38.267226,-121.939594                                                                                                                
Sonoma County:38.525182,-122.92611                                                                                                              
Stanislaus County:37.562316,-121.002831                                                                                                           
